x,y
-2482.294,-3236.169
-1303.095,-3571.179
-3613.404,-11447.221
-4709.498,-10704.537
-4206.087,-10578.688
-4215.22,-10611.611
-3343.583,-6662.758
-2207.74,-8411.02
-4077.105,-9085.812
-3211.738,-7622.95
-3182.861,-3019.311
-1125.836,-2544.791
-1891.237,-2160.246
-1953.91,-13333.53
-3171.764,-4630.268
-4755.839,-9147.357
-1859.558,-1850.068
-1880.656,-1889.267
-5167.923,-8700.918
-3100.774,-3757.904
-1610.436,-11994.452
-3114.449,-11090.908
-5066.402,-7119.686
-1667.211,-2447.829
-5509.841,-9476.18
-5724.488,-6074.8
-4390.226,-4239.112
-4607.427,-6294.287
-4610.1,-6564.122
-4283.811,-6181.574
-4282.628,-6688.277
-2951.75,-6896.432
-1385.259,-4810.728
-1543.005,-5226.842
-2383.95,-12709.45
-2914.557,-11187.324
-4255.666,-8356.749
3387.847,-44209.586
-4476.64,-11374.99
-3328.242,-11337.771
-3683.444,-9854.928
-4640.95,-11265.772
-7349.91,-6861.238
-7170.792,-8733.754
-6637.32,-8618.8
-1532.239,-6571.703
-5348.268,-9731.267
-7076.504,-8665.492
-4014.156,-4169.654
-1150.317,-4118.287
-7193.293,-8667.744
-1381.658,-12282.64
-4392.924,-6890.747
-2206.273,-8778.083
-3183.45,-9177.17
-956.609,-4040.06
-2330.75,-3782.234
-2337.113,-3264.893
-1300.32,-2533.64
-2281.457,-11208.071
-1255.178,-13351.909
-4523.394,-11119.634
-2769.028,-6498.483
-1599.672,-14007.304
-5329.004,-8280.442
-3130.043,-7048.182
-2106.61,-8068.04
-1396.385,-1707.601
-1826.694,-11632.446
-4572.756,-4815.812
-4796.137,-4795.951
-2901.67,-11183.488
-4964.605,-10994.995
-3993.297,-10041.881
-7009.459,-8870.554
-4222.206,-9327.215
-1486.684,-12871.709
-2436.595,-8776.513
-4752.401,-11287.561
-2500.956,-11106.483
-1334.498,-4477.564
-1823.84,-4259.87
